LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
8.7252200000,26.3995600000,341.0800000000,1.0000000000,1.0000000000,2022/11/17,"0002",A,"100",6.1NRT,291.9500000000,46.6400000000,N
-15.9882200000,142.0869800000,347.1400000000,2.0700000000,1.4000000000,2022/11/17,"0100",T,"92",6.1NRT,306.1000000000,106.7100000000,D
-16.0303300000,142.2131000000,375.1600000000,2.1200000000,1.4100000000,2022/11/17,"0100",T,"100",6.1NRT,307.8600000000,341.0900000000,D
-16.8309100000,137.2204700000,357.9900000000,1.0600000000,1.0300000000,2022/11/17,"0100",T,"98",6.1NRT,311.5600000000,66.1900000000,D
-16.8375800000,137.2133600000,367.8600000000,1.0600000000,1.0300000000,2022/11/17,"0100",T,"100",6.1NRT,315.0000000000,95.2200000000,D
-17.0748800000,138.5481900000,374.4400000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"100",6.1NRT,316.1100000000,141.5000000000,D
-17.0763800000,138.5595400000,366.3600000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"100",6.1NRT,316.5400000000,105.6200000000,D
-17.0801900000,138.5129100000,362.5800000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"100",6.1NRT,313.9300000000,95.7300000000,D
-17.0831900000,138.5355100000,356.6000000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"97",6.1NRT,315.1700000000,68.4200000000,D
-17.0847000000,138.5468300000,371.7600000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"100",6.1NRT,316.7400000000,126.0200000000,D
-17.0997900000,138.5101900000,365.7500000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"100",6.1NRT,316.0000000000,106.3600000000,D
-17.1022800000,138.5149500000,358.7100000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"99",6.1NRT,317.3300000000,77.5400000000,D
-17.1626400000,138.5181000000,356.1000000000,1.2200000000,1.1000000000,2022/11/17,"0100",T,"97",6.1NRT,313.9100000000,72.4800000000,D
-17.1153400000,137.2814800000,347.2900000000,1.0700000000,1.0300000000,2022/11/17,"0100",T,"91",6.1NRT,313.9700000000,42.3400000000,D
-17.1214800000,137.2740900000,369.9700000000,1.0700000000,1.0300000000,2022/11/17,"0100",T,"100",6.1NRT,311.5800000000,109.3600000000,D
-17.1228400000,137.2840400000,354.6200000000,1.0700000000,1.0300000000,2022/11/17,"0100",T,"96",6.1NRT,312.5200000000,60.2300000000,D
-18.8658400000,144.3063800000,350.4000000000,3.3500000000,1.7300000000,2022/11/17,"0100",T,"94",6.1NRT,303.1600000000,289.7400000000,D
-18.1952400000,137.1826000000,356.1200000000,1.0800000000,1.0400000000,2022/11/17,"0100",T,"97",6.1NRT,311.4800000000,63.3400000000,D
-18.1966400000,137.1927200000,362.0300000000,1.0800000000,1.0400000000,2022/11/17,"0100",T,"100",6.1NRT,314.4500000000,78.4500000000,D
-20.1173300000,-49.8442900000,322.7600000000,1.0300000000,1.0200000000,2022/11/17,"0138",T,"100",6.1NRT,292.8000000000,22.7300000000,N
-20.5523900000,-58.6361400000,353.8300000000,3.9200000000,1.8400000000,2022/11/17,"0138",T,"100",6.1NRT,295.8900000000,510.1400000000,N
-20.5463300000,-58.6417800000,349.0500000000,3.9200000000,1.8400000000,2022/11/17,"0138",T,"100",6.1NRT,296.1200000000,433.7500000000,N
-20.1918800000,-58.6193700000,315.4900000000,3.8700000000,1.8300000000,2022/11/17,"0138",T,"91",6.1NRT,295.1500000000,91.6100000000,N
-18.1405800000,-52.2849300000,315.6100000000,1.2600000000,1.1100000000,2022/11/17,"0138",T,"92",6.1NRT,291.5800000000,20.2400000000,N
-18.1306600000,-52.2864200000,317.1700000000,1.2600000000,1.1100000000,2022/11/17,"0138",T,"95",6.1NRT,290.6700000000,22.0300000000,N
-17.1472400000,-50.2431000000,319.6900000000,1.0200000000,1.0100000000,2022/11/17,"0138",T,"99",6.1NRT,293.9300000000,17.7200000000,N
-16.6662200000,-60.4509500000,350.6500000000,4.8200000000,2.0000000000,2022/11/17,"0141",T,"100",6.1NRT,295.2700000000,591.8500000000,N
-16.6673600000,-60.4574400000,359.8600000000,4.8200000000,2.0000000000,2022/11/17,"0141",T,"100",6.1NRT,296.0900000000,812.6300000000,N
-11.4857000000,-54.0115500000,321.9200000000,1.3200000000,1.1400000000,2022/11/17,"0141",T,"100",6.1NRT,293.9100000000,26.7700000000,N
-11.4872700000,-54.0235100000,343.8000000000,1.3300000000,1.1400000000,2022/11/17,"0141",T,"100",6.1NRT,295.2000000000,73.3100000000,N
-12.0473600000,-60.3828800000,316.8800000000,4.1400000000,1.8800000000,2022/11/17,"0141",T,"94",6.1NRT,288.2800000000,108.7600000000,N
